"","SP_ID","Int_Name","PA_type","PA_DEF","IUCN_CAT","RealmNr","Biodiversity","Wilderness","ClimateStability","LandUseStability","Area","ClimateProtection"
"31","199","Ai-Ais Hot Springs",NA,"1","II","3",0.208680362021916,0.532811855615856,0.649323680444254,0.85672293250689,0.0347038337786409,0.000591125321129127
"37","963","Al-Habrow al-Arabi","KBA",NA,NA,"3",0.0711812814109065,0.497315172476766,0.284616828460215,0.755840041105166,0.0150766615742701,0.00082265617666396
"39","288","Alatish",NA,"1","II","3",0.274314306354582,0.502885199387472,0.497232923596556,0.616615555468245,0.0140449084149922,0.0303547884790592
"53","1259","Amatole - Katberg Mountain","KBA",NA,NA,"3",0.371326403628048,0.221584728770003,0.565356932922157,0.782846295091457,0.0193519851351974,0.0602932759233268
"54","865","Amersfoort - Bethal - Carolina District","KBA",NA,NA,"3",0.394893467265012,0.329115264814488,0.344108364003176,0.963761572615604,0.0234435428125718,0.0372560541141379
"56","560","André Félix National Park complex","KBA",NA,NA,"3",0.262913271364285,0.466038607531646,0.496489704096132,0.819936489648741,0.0594287509432963,0.0523186902495865
"62","1304","Ankeniheny Zahamena Corridor NPA (CAZ)","KBA",NA,NA,"3",0.50112606169872,0.530936178162948,0.505359766709579,0.482574995718897,0.032506393931447,0.164118084102413
"90","291","Babile Elephant",NA,"1","II","3",0.410396327875265,0.650339931930466,0.537474904526119,0.772208938151065,0.0892156591225072,0.0411082479094295
"92","242","Badingilo Extension",NA,"1","II","3",0.408675749773324,0.330549327342624,0.957363007434597,0.726429076682911,0.0762241238076889,0.0494280314080008
"93","241","Badingilo",NA,"1","II","3",0.481666356784227,0.263343958727912,0.825514642251836,0.732883529054351,0.091132607415456,0.048087493072414
"95","571","Bahir Dar - Lake Tana","KBA",NA,NA,"3",0.380852795451058,0.578432006674691,0.396380318139252,0.569886060572978,0.0299373852500533,0.0250026865181305
"107","289","Bale Mountains",NA,"1","II","3",0.453980970109014,0.867692911101905,0.385866025891147,0.74183072596142,0.0097296336241568,0.0371879740967555
"108","488","Bamingui-Bangoran",NA,"1","II","3",0.389979811111185,0.557900628658643,0.723576873553925,0.846739917974612,0.118781867186266,0.119182121962219
"113","629","Bangweulu Swamps","KBA",NA,NA,"3",0.492482574220013,0.682445957536134,0.551756569524183,0.832029437411691,0.138271559097219,0.0937971972100229
"118","625","Barotse Floodplains","KBA",NA,NA,"3",0.466122484185995,0.58133042634478,0.533403387520553,0.822798202117238,0.0684245508218002,0.0837065391696389
"119","645","Barr al Hikman","KBA",NA,NA,"3",0,0.683203453158185,0.182009924068094,0.857411947760198,0.0157043120268113,0
"122","478","Bassin de la Lufira",NA,"1","II","3",0.617103170883079,0.686503451300655,0.583646235625321,0.84496446646984,0.514225773605301,0.438026073696529
"132","1003","Bidia - Bezavona Classified Forest","KBA",NA,NA,"3",0.359776492330911,0.522382484854135,0.332166583630609,0.570087020394687,0.0179223145178337,0.105992199944298
"141","576","Bogol Manyo - Dolo","KBA",NA,NA,"3",0.283742469140482,0.560144883979672,0.607630617298534,0.95127287748909,0.0346715140870826,0.0146015579273739
"144","243","Boma Extension",NA,"1","II","3",0.405758165915606,0.450661698090044,0.782177029596001,0.720063412356266,0.0414246653997278,0.0611822551406075
"145","240","Boma",NA,"1","II","3",0.482775086457208,0.391492466142996,0.734623938398349,0.723219022833973,0.223962077431073,0.102714824483035
"146","556","Bombo-Lumene Game Reserve","KBA",NA,NA,"3",0.42906327528721,0.636190052366832,0.22998328511882,0.831712939505568,0.0225529496169221,0.0427903018352735
"147","162","Bomu",NA,"1","Ib","3",0.484473167272298,0.718202146201616,0,0.864700011974965,0.0617764402015163,0.301958001692498
"149","999","Boni and Dodori National Reserves","KBA",NA,NA,"3",0.365626078771498,0.540567366892419,0.603704898677156,0.852729596760315,0.00762978118189144,0.037866240878764
"154","489","Bouba Ndjida",NA,"1","II","3",0.333536689789536,0.520921046585671,0.700887444568253,0.779656156430679,0.00736758867736351,0.0370528591275658
"155","173","Boucle de la Pendjari",NA,"1","II","3",0.328817329181013,0.51027464179209,0.918575050253019,0.721350105687972,0.016094754070851,0.031186208543636
"156","588","Boucle du Baoulé","KBA",NA,NA,"3",0.229763382075225,0.481068181033558,0.877828810404965,0.600662778119991,0.0296666929621316,0.019145346346605
"157","482","Boumba Bek",NA,"1","II","3",0.475578283074842,0.816587274834022,0.380269316720724,0.84537751268778,0.0104235980137007,0.179693444131186
"160","561","Bozoum","KBA",NA,NA,"3",0.33688918769978,0.707391627510399,0.454444808506393,0.856591182815119,0.0242810365072747,0.0647003355171226
"170","615","Burigi - Biharamulo Game Reserves","KBA",NA,NA,"3",0.509637745952812,0.640899019364423,0.446843134425093,0.433299431459293,0.0280052969370426,0.0537967031625864
"175","491","Campo-Ma'an",NA,"1","II","3",0.565245093820055,0.710575021234463,0.695683179057072,0.834951900462068,0.0134494793494927,0.112559508833301
"195","1271","Cedarberg - Koue Bokkeveld complex","KBA",NA,NA,"3",0.297359175092319,0.193181932891153,0.360936370653306,0.911195440088743,0.0736625274685307,0.0357254808351579
"196","606","Ceel Hammure","KBA",NA,NA,"3",0.0832623565918991,0.607751542116906,0.518933675985646,0.859936076018363,0.012054128205354,0.0124595156177189
"200","67","Central Kalahari",NA,"1","Ib","3",0.259866804845746,0.549045119346903,0.441302831694178,0.85884833213415,0.621451610145378,0.085457873478035
"210","1242","Cestos - Senkwen","KBA",NA,NA,"3",0.397174464855169,0.550822184351793,0.506126784096468,0.768357870135048,0.0244206979675479,0.123144091450304
"211","1245","Cestos Gbi","KBA",NA,NA,"3",0.451030549261458,0.615755797075877,0.735201378207911,0.756030449680222,0.0202556839129358,0.159240352702126
"213","1346","Chad Basin National Park: Chingurmi - Duguma Sect*","KBA",NA,NA,"3",0.277600446938759,0.501264072266075,0.536451082619814,0.719489713725182,0.0554859820339292,0.0161791962886655
"223","66","Chobe",NA,"1","Ib","3",0.482102766469944,0.419049422937861,0.757002216648747,0.838910500562296,0.11022276431792,0.0788057993081453
"233","516","Cliff of Bandiagara (Land of the Dogons)",NA,"1","Not Applicable","3",0.248699921572184,0.465173814065265,0.751491409165671,0.677218205509535,0.0220654167611778,0.00712860485159054
"236","437","Comoe National Park",NA,"1","II","3",0.462626377613252,0.570647434871418,0.553620599507272,0.817005749012154,0.122497019737513,0.0961152298317916
"239","565","Conkouati National Park","KBA",NA,NA,"3",0.457137466823783,0.713329538066726,0.3813981919096,0.854465345164709,0.0198819464516215,0.0770959010468348
"251","224","Cross River",NA,"1","II","3",0.777391407246143,0.678479675769503,0.873121959653965,0.760763892053244,0.0218765569214436,0.136143623596176
"253","551","Cuelei","KBA",NA,NA,"3",0.255670011607662,0.637577302308322,0.775070376275137,0.818310724272536,0.0107193786880467,0.016700528399894
"261","603","Daalo","KBA",NA,NA,"3",0.0980131927466318,0.485614104837139,0.236241330158639,0.859888366492317,0.00667984175546456,0.00759701920229542
