"","SP_ID","Int_Name","PA_type","PA_DEF","IUCN_CAT","RealmNr","Biodiversity","Wilderness","ClimateStability","LandUseStability","Area","ClimateProtection"
"11","1332","Waigeo Utara / Timur","KBA",NA,NA,"1",0.218048018594897,0.948650090908108,0.161883820982504,0.223994527771241,0.0727756443510935,0.0724915869137887
"24","769","Adelaide and Mary River Floodplains","KBA",NA,NA,"1",0.459898715021537,0.642838615957985,0.983740198583276,0.432778051874054,0.0496600702285304,0.0496661466611395
"44","354","Alpine",NA,"1","II","1",0.507779468637983,0.848446309861091,0.501653712538875,0.516215621347141,0.21391775474114,0.429743174500849
"61","1263","Anindilyakwa","KBA",NA,NA,"1",0.329480331647765,0.60704654313604,0.711261451066468,0.408262464540117,0.0490036632217612,0.0110983029395055
"64","768","Anson Bay, Daly and Reynolds River Floodplains","KBA",NA,NA,"1",0.444991710593918,0.671521714641498,0.913705030821194,0.461899962107617,0.0492999773955713,0.0843837505303978
"117","797","Barmah-Millewa","KBA",NA,NA,"1",0.395247373392557,0.44563154211202,0.375382868412241,0.560123703105301,0.0513374020683097,0.0274458493297759
"131","1266","Biak Island","KBA",NA,NA,"1",0.131154732901726,0.867436448085796,0.37492635019386,0.36676092982107,0.0525747959085766,0.0526048522843443
"137","377","Blue Mountains",NA,"1","II","1",0.564508453055483,0.700054234651506,0.537949525140335,0.549593126364913,0.053618927047614,0.162060429740805
"140","293","Bogani Nani Wartabone",NA,"1","II","1",0.491190884470776,0.720987949934791,0.271070000912217,0.149270961338708,0.0598958724608139,0.201495673149502
"148","363","Bon Bon Station",NA,"1","II","1",0.317426688944233,0.527350271166616,0.477247528971594,0.564515917371402,0.0315986811794766,0.00191452175891384
"150","384","Boodjamulla (Lawn Hill)",NA,"1","II","1",0.379472937238257,0.617776124115611,0.767286252885019,0.670878298899984,0.0589956144151479,0.069376353993525
"162","772","Buckley River","KBA",NA,NA,"1",0.353306112020448,0.566959868471299,0.694182647686318,0.782698130383512,0.141706217758502,0.0795801588028299
"167","776","Bulloo Floodplain","KBA",NA,NA,"1",0.30307822123696,0.600701525854216,0.38034342572687,0.620312400281448,0.33049097827643,0.0622144329475666
"169","791","Bundarra-Barraba","KBA",NA,NA,"1",0.552706086003722,0.509635235043142,0.656005001101011,0.664773711003905,0.0884628849607985,0.0583645305530225
"181","395","Cape Arid",NA,"1","II","1",0.226435430019318,0.648823065333905,0.239068851315177,0.406399387265871,0.0570813079129255,0.0437275311491905
"187","378","Carnarvon",NA,"1","II","1",0.438893777835726,0.628535874153135,0.559144020471576,1,0.0668472525420934,0.119483163127067
"201","777","Central NSW Mallee","KBA",NA,NA,"1",0.358596424234233,0.511252747996808,0.318493043211087,0.699645888560336,0.0470168296984784,0.0611449486060673
"235","402","Collier Range",NA,"1","II","1",0.266279744905692,0.579181409705859,0.32777262275083,0.576699848478474,0.0399214578831528,0.0339659421258089
"240","803","Cooloola and Fraser Coast","KBA",NA,NA,"1",0.623747442848864,0.755446268976258,0.204286591761444,0.539574660482019,0.033141727349812,0.0710855938953551
"250","369","Credo",NA,"1","II","1",0.270463808910437,0.651955443713727,0.121599694681354,0.403880341723962,0.0262912683875116,0.0528378200263436
"259","385","Currawinya",NA,"1","II","1",0.278518130161613,0.543180608126645,0.338346523201519,0.819547858077369,0.0842643360337405,0.0250058651276851
"268","128","Danggali",NA,"1","Ib","1",0.360191221133533,0.595242520635431,0.384661510719668,0.552337163300708,0.0268789967365559,0.0284418948043359
"290","811","Diamantina Floodplain","KBA",NA,NA,"1",0.264545759441407,0.638662712201938,0.454826670458997,0.497576568463925,0.0871483363690917,0.00629447684168665
"291","386","Diamantina",NA,"1","II","1",0.285966761545611,0.611260467769614,0.521970153653687,0.61787051923287,0.152844658943749,0.0391731106286211
"305","400","Drysdale River",NA,"1","II","1",0.436403453346872,0.71905402138084,1,0.435423190616592,0.127078395134458,0.0561954050008455
"310","43","Dundas",NA,"1","Ia","1",0.262322021296131,0.652547880745909,0.344634667521185,0.403149939353536,0.264367499196647,0.11042362267506
"340","19","Enarotali",NA,"1","Ia","1",0.928525481374087,0.896592061206406,0.153675047298765,0.17954093249005,0.058670125304676,0.322771271135835
"368","163","Fiordland National Park",NA,"1","II","1",0.0433324655017971,0.681186718123761,0.737101908039153,0.660111629808253,0.462163919007911,0.227399705185625
"369","399","Fitzgerald River",NA,"1","II","1",0.318385799982004,0.557423808818711,0.181030219813978,0.416244871269112,0.0640908532735666,0.0301136340338446
"374","391","Franklin-Gordon Wild Rivers",NA,"1","II","1",0.151578137203312,0.758023582328648,0.31069307249743,0.444129360005328,0.132601077657223,0.113923241508221
"383","355","Garig Gunak Barlu",NA,"1","II","1",0.40859576491912,0.653871193609987,0.823337582858043,0.40853378507708,0.0363181607517083,0.0241928610359024
"390","40","Gibson Desert",NA,"1","Ia","1",0.211723011972724,0.628950896060498,0.295636687650862,0.408175264202543,0.697095586225966,0.0504318761234074
"392","372","Giralia",NA,"1","II","1",0.299607434123036,0.51086191560591,0.515562017332808,0.656220070548401,0.0389988101448585,0.0204349490744057
"393","380","Girringun",NA,"1","II","1",0.798849468350651,0.76015787748017,0.567521276618487,0.768162909314663,0.0569939385326078,0.132998573863497
"403","536","Gondwana Rainforests of Australia",NA,"1","Not Applicable","1",0.774258091681176,0.761906639133005,0.534113056696351,0.561306403840233,0.0946547824450079,0.541226030082391
"410","809","Goyder Lagoon","KBA",NA,NA,"1",0.236600387049114,0.648873271259272,0.369416767145846,0.444026754130218,0.056249095472474,0.00247028403357931
"417","379","Great Sandy",NA,"1","II","1",0.624258541353762,0.754892200976604,0.217754523169853,0.541097005449508,0.0353428847403495,0.0710855938953551
"420","36","Great Victoria Desert",NA,"1","Ia","1",0.180349925569617,0.626409134317471,0.420385245524345,0.408176951540124,0.963310940706765,0.0596559398852893
"424","780","Gregory National Park","KBA",NA,NA,"1",0.478987366055878,0.720829474336112,0.765369238679028,0.420648948000517,0.471329117543662,0.183589904222942
"425","1285","Guadalcanal Watersheds","KBA",NA,NA,"1",0.188419876980265,0.798469767747678,0.104251566673384,0.375245535946651,0.097860675269347,0
"429","781","Gulf Plains","KBA",NA,NA,"1",0.451220350679265,0.634380998333912,0.784412612070376,0.804011716686519,0.304802728113953,0.114972291377923
"435","360","Hamelin Station",NA,"1","II","1",0.29135687221693,0.556076076402254,0.423591333796624,0.418736031586795,0.0259242328230761,0.0185094712577403
"478","786","Iron and McIlwraith Ranges","KBA",NA,NA,"1",0.573634662890062,0.786895317960619,0.703550304776217,0.760746236637083,0.189772463565636,0.141884442481275
"489","381","Jardine River",NA,"1","II","1",0.44572583403106,0.779139403849114,0.686345924403193,0.713799473390428,0.0398362081224907,0.0518883107980678
"494","34","Jilbadji",NA,"1","Ia","1",0.291125215416927,0.647893010824511,0.0421875852408585,0.407891162120872,0.0282635370522483,0.0700043649006822
"505","165","Kahurangi National Park",NA,"1","II","1",0.0146344209332999,0.709761932070729,0.318598384179145,0.678881103433257,0.128010553337122,0.205735348434663
"508","364","Kakadu",NA,"1","II","1",0.522377750585441,0.673582330658239,0.965859073350986,0.423816951360609,0.726691979796469,0.168333736774527
"510","362","Kalamurina",NA,"1","II","1",0.248535303983677,0.7152157496965,0.338623123890721,0.423860302896845,0.220233686500187,0.00393617114923523
"515","785","Kangaroo Island","KBA",NA,NA,"1",0.317241151040426,0.550556939981548,0.311774240423308,0.45842077795106,0.123952717830526,0.0218698509228702
"520","808","Karara and Lochada","KBA",NA,NA,"1",0.305395627171635,0.584962262407283,0.103021083217838,0.435982378249387,0.0443122535705071,0.0324911199633402
"521","398","Karijini",NA,"1","II","1",0.318483383585085,0.644346194917012,0.504360888679767,0.460960522675542,0.199194535912987,0.0802153103227231
"522","401","Karlamilyi",NA,"1","II","1",0.240700249344604,0.635838981624289,0.54540290030425,0.407962721982837,0.468972110027403,0.0542023775538946
"523","42","Karroun Hill",NA,"1","Ia","1",0.266344535474297,0.615285306407507,0,0.43590007484214,0.0702331134276953,0.0495841763052475
"557","404","King Leopold Ranges",NA,"1","II","1",0.467011047514388,0.690817785884433,0.879433652767586,0.423674579937132,0.10357740002561,0.0841256471967218
"571","374","Kosciuszko",NA,"1","II","1",0.503115641640952,0.721152584659518,0.565735728532588,0.568660835349867,0.224708584754919,0.208510594213999
"606","794","Lake Eyre","KBA",NA,NA,"1",0.265683527737296,0.822034368655797,0.333070088385087,0.612215649397546,0.333229116070932,0.00305059331659473
"611","798","Lake Sylvester System","KBA",NA,NA,"1",0.243427906493438,0.59700865293439,0.699688384801196,0.408381147361632,0.0367200200869782,0.0432335899502007
"613","804","Lake Torrens","KBA",NA,NA,"1",0.352767576590959,0.710958353462317,0.40218687417427,0.643654816766309,0.185302772721336,0.0242959440612971
"615","805","Lakes Muncoonie, Mumbleberry and Torquinie","KBA",NA,NA,"1",0.260905884808902,0.65157749528962,0.416624838045967,0.477850152894954,0.0279613394330287,0.0192737473205499
