"","SP_ID","Int_Name","PA_type","PA_DEF","IUCN_CAT","RealmNr","Biodiversity","Wilderness","ClimateStability","LandUseStability","Area","ClimateProtection"
"5","837","Snoul / Keo Sema / O Reang","KBA",NA,NA,"4",0.558254467963398,0.721423498107061,0.672836700532674,0.659890009673068,0.0613075788919232,0.219599137631265
"76","682","Askot Wildlife Sanctuary and Goriganga Basin","KBA",NA,NA,"4",0.471515130170796,0.725783194413507,0.78846627940086,0.631556040353453,0.0132246418349868,0.0375037541912862
"86","859","Ayeyarwady Delta (including Meinmahla Kyun)","KBA",NA,NA,"4",0.256109313143517,0.462873050829781,0.615720471457577,0.669067631857772,0.378480687044582,0.0430920007145445
"106","1258","Balbalasang-Balbalan National Park and proposed e*","KBA",NA,NA,"4",0.317275711276446,0.65770491708069,0.695389336025233,0.80979971144606,0.142913823632634,0.313223464820546
"115","676","Banni Grassland and Chhari Dhand","KBA",NA,NA,"4",0.101937662458241,0.890735272046284,0.909829869588939,0.717651518550458,0.063174809141724,0.0199701186967777
"126","665","Belum-Temenggor","KBA",NA,NA,"4",0.798625127559805,0.96657779885025,0.923239227845501,0.857146922117894,0.138238465638779,0.28940626407519
"128","292","Betung Kerihun",NA,"1","II","4",0.650088386636551,0.98113879034672,0.661908474844398,0.179477486513192,0.51263417706466,0.874846763845583
"130","677","Bhal area","KBA",NA,NA,"4",0.146029446822907,0.441106456196448,0.982942698190326,0.747787954696599,0.0750173108458537,0.0278550211177252
"136","1267","Bintang Range","KBA",NA,NA,"4",0.823933501091525,0.678973353223995,0.887452450881092,0.863525742018845,0.0730372256416565,0.290511145093757
"163","294","Bukit Baka -  Bukit Raya",NA,"1","II","4",0.416208306954783,0.937249867018305,0.295697802650155,0.302460495103513,0.0421894798725079,0.239231449735722
"164","295","Bukit Barisan Selatan",NA,"1","II","4",0.576026446346301,0.636722123215422,0.445061475880629,0.387829029639755,0.106181541153518,0.163430756443046
"165","660","Bukit Panjang - Bukit Siguntang","KBA",NA,NA,"4",0.52699036280638,0.230640538744999,0.980746396109819,0.215612448831075,0.0433830011686854,0.259840114356622
