"","SP_ID","Int_Name","PA_type","PA_DEF","IUCN_CAT","RealmNr","Biodiversity","Wilderness","ClimateStability","LandUseStability","Area","ClimateProtection"
"1","1027","Yungas Inferiores de Isiboro-Sécure / Altamachi","KBA",NA,NA,"6",0.708455078817694,0.818734291828867,0.791668910465768,0.819842937266446,0.0281011269594563,0.131084581306914
"2","774","Kabalebo / Arapahu","KBA",NA,NA,"6",0.515810223623099,0.994648619455762,0.847222635580454,0.830889641234214,0.22842676276539,0.366202673669137
"3","688","Ilhéus / Itabuna","KBA",NA,NA,"6",0.467436176195126,0.566189309773663,0.743471225019342,0.724433155683553,0.0322991530956739,0.0636762783735611
"6","510","Talamanca Range-La Amistad Reserves / La Amistad National Park",NA,"1","Not Applicable","6",0.753609746664603,0.610905475282856,0.626093499366592,0.828932898457406,0.0778967755245624,0.105573201346288
"8","749","Reentrâncias Maranhenses / Paraenses","KBA",NA,NA,"6",0.478521663644386,0.591631262680138,0.793225151609619,0.716309781598455,0.153858839924645,0.107571591526901
"9","755","Caxiuanã / Portel","KBA",NA,NA,"6",0.515641418488593,0.790802557763784,0.663956749868213,0.800391968505555,0.465443000229232,0.400009804890182
"10","761","Aurora do Tocantins / Taguatinga","KBA",NA,NA,"6",0.293850869842706,0.257376332657597,0.787930218297495,0.670186375562441,0.0498048177435566,0.0173730329251673
"12","767","Tirecatinga / Utiariti","KBA",NA,NA,"6",0.42963799406092,0.369906470365028,0.578675853251399,0.658337695063593,0.0816860784447892,0.0527251610387426
"19","1351","Abra Patricia - Alto Mayo","KBA",NA,NA,"6",0.760739472515227,0.826129826014053,0.655301401739655,0.448978550640852,0.0477807775504782,0.095119281623814
"29","267","Aguaro-Guariquito",NA,"1","II","6",0.336142323379561,0.443142911686635,0.849058666263976,0.825712999539979,0.078780337514225,0.0202173747810157
"40","307","Alberto De Agostini",NA,"1","II","6",0.0265589795600022,0.853891852067072,0.468668333051595,NA,0.160086202076285,0.0233578421017084
