"","PAname","x","y"
"1","Paleski Radyaytsina-Ekalagichny",29.75,51.5
"2","Ustyurtskiy",54.5,43
"3","Kurgal'dzhinskiy",69.25,50.5
"4","Issyk-Kul",77.36,42.47
"5","Khoridol Saridag",99.83,50.83
"6","Zed-Khantai-Buteeliin nuruu",103.86,50.03
"7","Altan Els",95,50
"8","Great Gobi",96.17,44.05
"9","Uvs Nuur Basin",92.69,50.31
"10","Addax Sanctuary",9.53,19.31
"11","Extension to Majami‘ al-Hadb",44,21.5
"12","Mahazat as-Sayd",41.85,22.25
"13","Harrat al-Harrah",38.87,30.83
"14","Thungyai Naresuan",98.83,15.33
"15","Huai Kha Khaeng",99.12,15.25
"16","Um Phang",99,16
"17","Kaplangurskiy",57.11,41.04
"18","Bukit Sapat Hawung",114.65,0.55
"19","Enarotali",136.35,-3.95
"20","Pegunungan Tamrau Selatan",133.31,-1.19
"21","Pegunungan Wayland",136,-3.75
"22","La Payunia",-68.89,-36.61
"23","Sichuan Changshahongma Wetlands",98,33.75
"24","Tibet Selincuo Wetlands",89.62,31.29
"25","2001071 Sjaunja",19.2,67.55
"26","Sian Ka'an",-87.67,19.58
"27","Calakmul",-89.5,18.25
"28","El Vizcaíno",-114.03,27.31
"29","El Pinacate y Gran Desierto de Altar",-113.75,31.92
"30","Witchelina Nature Reserve",138,-30.25
"31","Mamungari",129.79,-28.94
"32","Ngarkat",140.58,-35.58
"33","Simpson Desert",137.75,-26
"34","Jilbadji",120,-31.75
"35","Nuytsland",125.52,-32.55
"36","Great Victoria Desert",127.82,-29.71
"37","Queen Victoria Spring",123.5,-30.5
"38","Neale Junction",126,-28.5
"39","Plumridge Lakes",125,-29.5
"40","Gibson Desert",125.5,-24.75
"41","Yeo Lake",124.25,-28
"42","Karroun Hill",118.25,-30
"43","Dundas",122.75,-32.5
"44","Toolonga",115,-27
"45","Estacao Ecologica Serra Geral Do Tocantins",-46.69,-10.81
"46","Estação Ecológica De Niquiá",-61.45,1.15
"47","Estação Ecológica De Jutaí-Solimões",-67.5,-3
"48","Reserva Biológica Do Uatumã",-59.58,-1.19
"49","Estação Ecológica Do Grão Pará",-56.75,0.92
"50","Reserva Biológica Do Jaru",-61.62,-9.75
"51","Reserva Biológica Do Guaporé",-62.89,-12.54
"52","Reserva Biológica Do Lago Piratuba",-50.25,1.5
"53","Estação Ecológica Alto Maués",-58.31,-5.69
"54","Reserva Biológica De Maicuru",-54.21,0.75
"55","Reserva Biológica Do Gurupi",-46.62,-3.75
"56","Reserva Biológica Do Rio Trombetas",-56.85,-1.05
"57","Estação Ecológica Da Terra Do Meio",-53.54,-5.77
"58","Estação Ecológica Juami-Japurá",-68.47,-2.31
"59","Estação Ecológica Do Jari",-53,-0.5
"60","Reserva Biológica Do Abufari",-63,-5
"61","Reserva Biológica Nascentes Serra Do Cachimbo",-54.5,-9
"62","Reserva Biológica Do Manicoré",-61,-7
"63","Polar Bear Pass National Wildlife Area",-98.93,75.66
"64","Yangambi",24.58,0.92
"65","Khutse",24.15,-23.45
"66","Chobe",24.43,-18.48
"67","Central Kalahari",23.88,-22.34
"68","Nxai Pan",24.75,-20
"69","Gemsbok",21.13,-25.19
"70","Moremi",23.18,-19.39
"71","Makgadikgadi Pans",24.75,-20.5
"72","Numrug",119.5,47
"73","Gobiin baga /A/, /B/",106.85,42.37
"74","Khan Khentii",108.38,48.88
"75","Eastern Mongolian Steppe",117.06,46.56
"76","Ulaan Taiga",98.39,50.75
"77","Harrat Khaybar / Wadi Hadiyah",39.67,25.58
"78","Harrat ‘Uwayrid",37.65,26.95
"79","Death Valley",-117.08,36.42
"80","Mojave",-115.54,35.18
"81","Sequoia-Kings Canyon",-118.5,36.75
"82","Yosemite",-119.55,37.85
"83","Frank Church - River of No Return",-115,45
"84","Cabeza Prieta",-113.17,32.33
"85","Absaroka-Beartooth",-110.11,45.32
"86","Mollie Beattie",-143.5,69.05
"87","Boundary Waters Canoe Area",-91.25,48
"88","Becharof",-155.75,58
"89","Bob Marshall",-113.19,47.69
"90","Nellie Juan-College Fiord",-147.93,60.67
"91","Denali",-150.51,63.28
"92","Gates of the Arctic",-153.2,67.83
"93","Gila",-108.5,33.25
"94","Glacier Bay",-136.69,58.78
"95","Glacier Peak",-121,48
"96","Innoko",-158.52,63.11
"97","John Muir",-118.69,37.12
"98","Joshua Tree Wilderness (draft boundary)",-115.75,34
"99","Katmai",-154.86,58.59
"100","Kofa",-114,33.25
"101","Lake Clark",-153.28,60.66
"102","Noatak",-159.38,68.09
"103","Pasayten",-120.5,48.75
"104","Teton",-110.25,44
"105","Chuck River",-133.58,56.53
"106","Trinity Alps",-123.25,41
"107","Washakie",-109.65,44.05
"108","Weminuche",-107.25,37.5
"109","Selway-Bitterroot",-114.69,46.19
"110","Andreafsky",-162.4,62.75
"111","Kootznoowoo",-134.36,57.58
"112","Stephen Mather",-121.15,48.55
"113","Unimak Island",-164.11,54.68
"114","Tracy Arm-Fords Terror",-133.04,57.61
"115","Andrew Simons",-150.69,59.86
"116","Central Arctic Management Area",-155,68.75
"117","Desert Nwr Propo",-115.19,36.81
"118","Misty Fiords",-130.67,55.48
"119","Kaldoaivin Erämaa",28.03,69.64
