"","SP_ID","Int_Name","PA_type","IUCN_CAT","COUNTRY","ISO3","ODA_status","ODA","RealmNr","Biodiversity","Wilderness","ClimateStability","LandUseStability","Size","ClimateProtection"
"5",167,"National Park Quiçãma","IUCN","II","Angola","AGO","Least Developed Countries ","yes",3,0.236564319386071,0.660653746702651,0.617022349454385,0.735572634989788,0.433608472751641,0.182454682336368
"6",166,"National Park Iona","IUCN","II","Angola","AGO","Least Developed Countries ","yes",3,0.225654778131006,0.39285965142695,0.689804354521273,0.744047782511854,0.576844043230454,0.142108024905315
"7",172,"National Park Mavinga","IUCN","II","Angola","AGO","Least Developed Countries ","yes",3,0.132600784913196,0.540907286863222,0.536633692861924,0.717710234215606,0.326899106836264,0.222258022684702
"8",170,"National Park Mupa","IUCN","II","Angola","AGO","Least Developed Countries ","yes",3,0.164083894777103,0.62672196389391,0.34637685971283,0.703354647390574,0.315777289465768,0.169512154138328
"9",553,"Luando Strict Nature Reserve","KBA",NA,"Angola","AGO","Least Developed Countries ","yes",3,0.231163209690781,0.7157232222606,0.534426773461966,0.730115642725695,0.437612111043746,0.198479636649313
"10",171,"National Park Luengue-Luiana","IUCN","II","Angola","AGO","Least Developed Countries ","yes",3,0.18984511298394,0.47543422822488,0.451628991650561,0.71947296686362,0.481831958597428,0.215873983796991
"11",169,"National Park Bicuar","IUCN","II","Angola","AGO","Least Developed Countries ","yes",3,0.216039823635332,0.632526871605891,0.330616509041094,0.719641159411264,0.406845820293545,0.144134698368831
"12",168,"National Park Cameia","IUCN","II","Angola","AGO","Least Developed Countries ","yes",3,0.214035171017015,0.557557378418614,0.675506996556818,0.737973225330058,0.558662726902745,0.0758174000199584
"13",552,"Luachimo River (Chitato)","KBA",NA,"Angola","AGO","Least Developed Countries ","yes",3,0.224914097869475,0.680153824226364,0.280012852649854,0.740583329264328,0.113313482849337,0.181477001053639
"14",551,"Cuelei","KBA",NA,"Angola","AGO","Least Developed Countries ","yes",3,0.123474324105365,0.643974250350327,0.601085515592649,0.723960647529915,0.113680598937114,0.160706607985761
"15",173,"Boucle de la Pendjari","IUCN","II","Benin","BEN","Least Developed Countries ","yes",3,0.155557646616175,0.515394334543451,0.92863482297902,0.741113340766472,0.155732590027203,0.0835919296114908
"16",554,"Ouémé river basin","KBA",NA,"Benin","BEN","Least Developed Countries ","yes",3,0.190648319570132,0.685118782282466,0.775419696736472,0.702999619401706,0.295122608334482,0.158689391049079
"17",174,"W (Benin)","IUCN","II","Benin","BEN","Least Developed Countries ","yes",3,0.158152457601274,0.398039286476808,0.78394087775467,0.668822626479655,0.334532643878734,0.151534940209113
"18",176,"W du Burkina Faso","IUCN","II","Burkina Faso","BFA","Least Developed Countries ","yes",3,0.157460374497845,0.368638376449379,0.754767632908535,0.709598098525108,0.117812584229205,0.122897459669199
"19",175,"Kabore-Tambi","IUCN","II","Burkina Faso","BFA","Least Developed Countries ","yes",3,0.13416048660787,0.334296547432767,0.88701444707001,0.688176807682474,0,0.138871718828429
"23",563,"Ngotto","KBA",NA,"Central African Republic","CAF","Least Developed Countries ","yes",3,0.324082898708448,0.773915397103804,0.504880047597181,0.739034298899611,0.0884677072566159,0.789245206264101
"24",562,"Zémongo Faunal Reserve","KBA",NA,"Central African Republic","CAF","Least Developed Countries ","yes",3,0.173389018745454,0.720909455286291,0.528755832030508,0.741933449695297,0.549602837102861,0.20953848107817
"25",488,"Bamingui-Bangoran","IUCN","II","Central African Republic","CAF","Least Developed Countries ","yes",3,0.183227759821531,0.563498162858937,0.975831887456083,0.744498305265897,0.499515455272104,0.183773724116446
"26",486,"Manovo-Gounda-Saint Floris","IUCN","II","Central African Republic","CAF","Least Developed Countries ","yes",3,0.178121146006077,0.485789857449041,0.871177484551646,0.744308991184234,0.631343985735423,0.231688751054989
"27",560,"André Félix National Park complex","KBA",NA,"Central African Republic","CAF","Least Developed Countries ","yes",3,0.118065651943184,0.47071447068187,0.554998929365769,0.740608499315524,0.358199747382411,0.304984203577991
"28",561,"Bozoum","KBA",NA,"Central African Republic","CAF","Least Developed Countries ","yes",3,0.182850603129351,0.714489036615495,0.639802627388122,0.744140820345838,0.208651851462093,0.20498059871138
"29",1290,"Kokolopori","KBA",NA,"Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.193410507718997,0.836690850625064,0.6797330082308,0.601538295456231,0.22678225147942,0.74237452330531
"30",162,"Bomu","IUCN","Ib","Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.260697060551922,0.725408020455098,0.0681383109658375,0.748053046194289,0.365605092543266,0.466487667089082
"31",1288,"Itombwe Mountains","KBA",NA,"Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.645380703275895,0.715554871992192,0.73764452057551,0.678282032534054,0.422121279191651,0.695207894066766
"32",1291,"Lendu Plateau","KBA",NA,"Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.460893769475084,0.681538755572597,0.740911605023673,0.547511989550693,0.249014970142038,0.363381289825127
"33",487,"Okapis","IUCN","II","Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.395712088434894,0.801738341357302,0.807969519405354,0.718501426932341,0.554455397992846,0.827238730699935
"34",494,"Garamba","IUCN","II","Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.340182530073189,0.648386922082182,0.585896968540235,0.740357705777125,0.295713861213254,0.18553762469595
"35",485,"Salonga","IUCN","II","Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.207954233127077,0.809288997009355,0.808801988624446,0.675967753146453,0.772498329586328,0.78012703018932
"36",559,"LaLuama - Katanga - Mount Kabobo","KBA",NA,"Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.360178039061837,0.686082426013615,0.563936602065636,0.730619549107072,0.129500476343492,0.331739950465376
"37",497,"Virunga","IUCN","II","Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.729537668960364,0.548832648511909,1,0.526970964269038,0.410235249262665,0.387269349328524
"38",478,"Bassin de la Lufira","IUCN","II","Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.400267024570217,0.693391286187713,0.743853648790909,0.742270107746943,0.83812190109948,0.237165595446896
"39",817,"Irangi Forest","KBA",NA,"Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.477113322398207,0.777440298939887,0.82994629009643,0.531449685868019,0.230620684497542,0.9976615903301
"40",1296,"Marungu highlands","KBA",NA,"Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.335187706526623,0.702206135346334,0.641247024325058,0.683437060150654,0.464097113759282,0.177532795061599
"41",557,"Ngiri","KBA",NA,"Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.261749004727226,0.774223119426036,0.842749277435626,0.73528420557026,0.646527547284937,0.745813267965309
"42",493,"Maiko","IUCN","II","Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.352377111213543,0.80063892776946,0.819791037342736,0.653226536227679,0.494543677723895,0.809453242604531
"43",492,"Kahuzi-Biega","IUCN","II","Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.589828535780472,0.749381072457499,0.854541814803796,0.638548264814745,0.372563415886381,0.952955516513681
"44",556,"Bombo-Lumene Game Reserve","KBA",NA,"Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.230654626517933,0.64257308223421,0.283913397727531,0.724686924138007,0.198376264196918,0.110410615333119
"45",64,"Yangambi","IUCN","Ia","Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.238023429288725,0.68351978085039,0.811067192765692,0.681989567286042,0.096713683643439,0.763909581938154
"46",558,"Lomako - Yekokora","KBA",NA,"Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.192144821633875,0.858648677704865,0.846301245541639,0.647363977475977,0.118658754958156,0.805203515570077
"47",816,"Yob Wildlife Reserve","KBA",NA,"Eritrea","ERI","Least Developed Countries ","yes",3,0.0605023081548486,0.698311693251832,0.292655878185122,1,0.197810737488339,0.129036449485026
"48",569,"Western Plain: Barka river","KBA",NA,"Eritrea","ERI","Least Developed Countries ","yes",3,0.0690928639741463,0.601008672759143,0.46430469818893,0.955397136306061,0.292599508816138,0.044720319758928
"49",286,"Yangudi Rassa","IUCN","II","Ethiopia","ETH","Least Developed Countries ","yes",3,0.127937207603033,0.594340337828514,0.295470112054225,0.78559636223678,0.17439356682786,0.0918373813306271
"51",820,"Yayu Coffee Forest Biosphere Reserve","KBA",NA,"Ethiopia","ETH","Least Developed Countries ","yes",3,0.188932803435075,0.799461621651786,0.361894839091513,0.649983330998092,0.103942790838541,0.539797727585741
"52",818,"Koffole (Arsi) Forest","KBA",NA,"Ethiopia","ETH","Least Developed Countries ","yes",3,0.343181559204861,0.551145198267301,0.939929590206792,0.602282047129125,0.477040530020727,0.233745868070304
"53",819,"Qafta-Shiraro National Park","KBA",NA,"Ethiopia","ETH","Least Developed Countries ","yes",3,0.118504592466197,0.44298381820553,0.553162726996924,0.722045469810994,0.234359936108724,0.258685846324367
"54",576,"Bogol Manyo - Dolo","KBA",NA,"Ethiopia","ETH","Least Developed Countries ","yes",3,0.158940159435817,0.565764935632844,0.613886665105138,0.762033113607154,0.262853253512563,0.177930583100009
"55",573,"Metu - Gore - Tepi forests","KBA",NA,"Ethiopia","ETH","Least Developed Countries ","yes",3,0.230606855182999,0.904349408117865,0.526955149152725,0.636686911802657,0.376847549297026,0.487440876191588
"56",572,"Mid-Abbay (Blue Nile) river basin","KBA",NA,"Ethiopia","ETH","Least Developed Countries ","yes",3,0.221887251581431,0.53631481196996,0.6755002082182,0.650172599975827,0.433778997184939,0.232150481244788
"57",288,"Alatish","IUCN","II","Ethiopia","ETH","Least Developed Countries ","yes",3,0.0899565830932674,0.507930752940456,0.693142159753373,0.714105751082115,0.140519575863707,0.189337320313958
"58",815,"Harena-Kokosa","KBA",NA,"Ethiopia","ETH","Least Developed Countries ","yes",3,0.292088391723868,0.811841051475689,0.742940222834739,0.65278062439633,0.0912074401213561,0.322724763049338
"59",291,"Babile Elephant","IUCN","II","Ethiopia","ETH","Least Developed Countries ","yes",3,0.200818061986335,0.656864930117068,0.302805085329142,0.534649071536561,0.438975370409737,0.357262917128837
"60",575,"Lower Wabi Shebelle river and Warder","KBA",NA,"Ethiopia","ETH","Least Developed Countries ","yes",3,0.115913940421458,0.562931367641185,0.431804808598586,0.762602672622507,0.515505135088157,0.199424654343562
"61",571,"Bahir Dar - Lake Tana","KBA",NA,"Ethiopia","ETH","Least Developed Countries ","yes",3,0.185797408650634,0.584235536793197,0.523234977968325,0.68391256877575,0.23960420286751,0.152515840837964
"62",570,"Shire lowlands in the Tekeze valley","KBA",NA,"Ethiopia","ETH","Least Developed Countries ","yes",3,0.124534843980737,0.483884210818737,0.483814414899388,0.684730321412538,0.328683069390863,0.243728300361964
"63",182,"Yabello","IUCN","II","Ethiopia","ETH","Least Developed Countries ","yes",3,0.232796844105731,0.539780934170438,0.503498695031944,0,0.0929975484580931,0.507214797976929
"64",287,"Omo","IUCN","II","Ethiopia","ETH","Least Developed Countries ","yes",3,0.248609635518168,0.639268466708497,0.158376062993982,0.665382389207175,0.235302801473746,0.203701814852434
"65",289,"Bale Mountains","IUCN","II","Ethiopia","ETH","Least Developed Countries ","yes",3,0.410374344155321,0.876398657583657,0.720365076332124,0.62543316116843,0.105102290442738,0.304245918589516
"66",821,"Wadela (Wadila)","KBA",NA,"Ethiopia","ETH","Least Developed Countries ","yes",3,0.130026360355776,0.675793809323675,0.614445411659927,0.635777989854273,0.108891004766335,0.24116313379074
"67",290,"Gambella","IUCN","II","Ethiopia","ETH","Least Developed Countries ","yes",3,0.171715868070485,0.451036513609637,0.701421104295123,0.712653380835308,0.264927068883353,0.0959568577425277
