"","SP_ID","Int_Name","PA_type","IUCN_CAT","COUNTRY","ISO3","ODA_status","ODA","RealmNr","Biodiversity","Wilderness","ClimateStability","LandUseStability","Size","ClimateProtection"
"159",994,"North-west Isabel","KBA",NA,"Solomon Islands","SLB","Least Developed Countries ","yes",1,0.249699311127453,0.996677400764953,0.271223595149838,0.730451870717235,0.136298356647424,0.395971991788711
"160",1285,"Guadalcanal Watersheds","KBA",NA,"Solomon Islands","SLB","Least Developed Countries ","yes",1,0.519567173953938,0.798469767743594,0.0396216057500616,0.680129594752227,0.343596993603249,0.396364996801501
"286",1332,"Waigeo Utara / Timur","KBA",NA,"Indonesia","IDN","Lower Middle Income Countries and Territories","yes",1,0.200956599778916,0.948650091385593,0.34806569253724,0.680056017135397,0.283020630103054,0.831882935182102
"291",20,"Pegunungan Tamrau Selatan","IUCN","Ia","Indonesia","IDN","Lower Middle Income Countries and Territories","yes",1,0.581102659067461,0.96846558041411,0.72430338899567,0.544873813186419,0.423377727137918,0.860929549420266
"292",1266,"Biak Island","KBA",NA,"Indonesia","IDN","Lower Middle Income Countries and Territories","yes",1,0.431654456300247,0.867436447694869,0.552222335824699,0.705404658795113,0.224966239141958,0.952299342153853
"293",992,"Mekongga","KBA",NA,"Indonesia","IDN","Lower Middle Income Countries and Territories","yes",1,0.336979022059567,0.879699166405109,0.475556359045013,0.37425867919283,0.41558719372951,0.535091067216464
"295",293,"Bogani Nani Wartabone","IUCN","II","Indonesia","IDN","Lower Middle Income Countries and Territories","yes",1,0.386846881090642,0.720987949492592,0.503754463666379,0.271902453689175,0.2471644027155,0.571413691813056
"299",1300,"Morowali","KBA",NA,"Indonesia","IDN","Lower Middle Income Countries and Territories","yes",1,0.325671113316908,0.821322829182861,0.460843668631514,0.247044702013617,0.239707774035624,0.55264104357932
"302",991,"Mambuliling","KBA",NA,"Indonesia","IDN","Lower Middle Income Countries and Territories","yes",1,0.354442598608369,0.911559789486233,0.237841055583819,0,0.216209840471886,0.570663821916928
"304",19,"Enarotali","IUCN","Ia","Indonesia","IDN","Lower Middle Income Countries and Territories","yes",1,0.763649331245969,0.896592060955844,0.290346623607746,0.651543289994989,0.243547078110293,0.796514060360641
"305",21,"Pegunungan Wayland","IUCN","Ia","Indonesia","IDN","Lower Middle Income Countries and Territories","yes",1,0.652059572465809,0.94407369193291,0.374174776454697,0.648572795008008,0,0.862782539544731
"307",993,"Pegunungan Tokalekaju","KBA",NA,"Indonesia","IDN","Lower Middle Income Countries and Territories","yes",1,0.481425874386655,0.836948972327545,0.313748169100474,0.219804938295516,0.356735199686407,0.567942902673319
"310",1294,"Manusela","KBA",NA,"Indonesia","IDN","Lower Middle Income Countries and Territories","yes",1,0.395422952432054,0.764953369666521,0,0.637679290690565,0.201993383178119,0.786540521831666
"312",297,"Lorentz","IUCN","II","Indonesia","IDN","Lower Middle Income Countries and Territories","yes",1,0.899647469257334,0.888390132246428,0.271772722189679,0.688303633052461,0.968044545573084,0.833984547209211
"400",1323,"Telefomin","KBA",NA,"Papua New Guinea","PNG","Lower Middle Income Countries and Territories","yes",1,1,1,0.254643445857773,0.690045667912718,0.126077569023548,0.810071752337436
"411",355,"Garig Gunak Barlu","IUCN","II","Australia","AUS",NA,"no",1,0.187564935110871,0.653871193103317,0.367060178038877,0.731559831671672,0.169805593045936,0.14978941988953
"412",769,"Adelaide and Mary River Floodplains","KBA",NA,"Australia","AUS",NA,"no",1,0.251192678227628,0.642838615171841,0.736955253627681,0.731780455750621,0.215710106389505,0.191893640174768
"413",40,"Gibson Desert","IUCN","Ia","Australia","AUS",NA,"no",1,0.0244060857395249,0.628950895151778,0.447774014058742,0.731336347282525,0.884741804853816,0.00392589529687401
"414",380,"Girringun","IUCN","II","Australia","AUS",NA,"no",1,0.570979049097871,0.760157876844074,0.940250066001174,0.780016009644672,0.238537516427275,0.258750293459578
"415",354,"Alpine","IUCN","II","Australia","AUS",NA,"no",1,0.301801667156962,0.848446309454827,1,0.734419707184736,0.535022414813816,0.837242898709357
"416",389,"Munga-Thirri","IUCN","II","Australia","AUS",NA,"no",1,0.0443499283724594,0.677195717714792,0.564550955503228,0.731336347282525,0.681285290844273,0.00779821321232248
"417",799,"South-west Slopes of NSW","KBA",NA,"Australia","AUS",NA,"no",1,0.223698600753383,0.405445303779896,0.681496913159654,0.871810896402863,1,0.391862400619715
"418",394,"Murray - Sunset","IUCN","II","Australia","AUS",NA,"no",1,0.10805967109849,0.588823220845267,0.583883650380585,0.671197351455306,0.536861953391192,0.0974465791615447
"419",809,"Goyder Lagoon","KBA",NA,"Australia","AUS",NA,"no",1,0.0399293336621314,0.648873270778863,0.536937431065982,0.808214984077795,0.236287595764662,0.0126978681082874
"420",392,"Southwest","IUCN","II","Australia","AUS",NA,"no",1,0.136026766296108,0.779686385606524,0.514515573214796,0.731999443417699,0.523793728390833,1
"421",1263,"Anindilyakwa","KBA",NA,"Australia","AUS",NA,"no",1,0.15847023180843,0.607046543368482,0.606473159447082,0.731416667490596,0.213590474197342,0.16891651078332
"422",800,"Strzelecki Desert Lakes","KBA",NA,"Australia","AUS",NA,"no",1,0.064268826250666,0.68467881204931,0.612207847919552,0.825557923399685,0.188990938890829,0.001988430427576
"423",376,"Sturt","IUCN","II","Australia","AUS",NA,"no",1,0.049721384199538,0.582297404768548,0.616282221378639,0.731434274369645,0.29300766274048,0.00373939793392174
"424",768,"Anson Bay, Daly and Reynolds River Floodplains","KBA",NA,"Australia","AUS",NA,"no",1,0.201022397549505,0.671521714035714,0.67055033725619,0.786418100560075,0.214548946490841,0.193554761170803
"425",781,"Gulf Plains","KBA",NA,"Australia","AUS",NA,"no",1,0.144964319949334,0.634380998047977,0.740959518698411,0.807727011359673,0.633911160540572,0.0463272439735566
"426",797,"Barmah-Millewa","KBA",NA,"Australia","AUS",NA,"no",1,0.113319749755483,0.44563154201726,0.63426843147622,0.585755558803306,0.221067358741628,0.325449361470356
"427",786,"Iron and McIlwraith Ranges","KBA",NA,"Australia","AUS",NA,"no",1,0.40783415304703,0.786895318010174,0.873355875585202,0.830774850326765,0.503097021766114,0.29982583348079
"428",381,"Jardine River","IUCN","II","Australia","AUS",NA,"no",1,0.225391577382878,0.779139403682305,0.589164990671858,0.760209986716307,0.182522219305328,0.298347744714791
"429",34,"Jilbadji","IUCN","Ia","Australia","AUS",NA,"no",1,0.0826181552703239,0.647893010749627,0.13983753233361,0.728639150607389,0.138770963456087,0.148974368323396
"430",377,"Blue Mountains","IUCN","II","Australia","AUS",NA,"no",1,0.292154184379447,0.700054234664462,0.804655611204086,0.664224830686618,0.228221850737152,0.520138896353574
"431",814,"Ulladulla to Merimbula","KBA",NA,"Australia","AUS",NA,"no",1,0.206381130888576,0.831478527298279,0.689565468647869,0.685483635607961,0.143031351798264,0.71029336292645
"432",363,"Bon Bon Station","IUCN","II","Australia","AUS",NA,"no",1,0.0558279148427081,0.527350270573118,0.780884794369708,0.735212924069882,0.151965590355135,0.00266658822038668
"433",384,"Boodjamulla (Lawn Hill)","IUCN","II","Australia","AUS",NA,"no",1,0.126986458585667,0.617776123765892,0.737543622411326,0.79235159819764,0.244511382355036,0.0157940077736698
"434",364,"Kakadu","IUCN","II","Australia","AUS",NA,"no",1,0.322785180108485,0.673582330481223,0.88944162096097,0.731113235218544,0.897883719704921,0.167473708231955
"435",362,"Kalamurina","IUCN","II","Australia","AUS",NA,"no",1,0.033094495180499,0.715215749028124,0.500399185547015,0.731663675183056,0.542902781048001,0.00229805238413899
"436",772,"Buckley River","KBA",NA,"Australia","AUS",NA,"no",1,0.106168254448294,0.566959867631608,0.877301120537843,0.823848116268989,0.428971242224848,0.0212858640686372
