"","SP_ID","Int_Name","PA_type","IUCN_CAT","COUNTRY","ISO3","ODA_status","ODA","RealmNr","Biodiversity","Wilderness","ClimateStability","LandUseStability","Size","ClimateProtection"
"20",656,"Jamuna-Brahmaputra river","KBA",NA,"Bangladesh","BGD","Least Developed Countries ","yes",4,0.180090796208911,0,0.840329409379084,1,0.205824484993786,0.0892297840274393
"70",846,"Southern Cardamoms","KBA",NA,"Cambodia","KHM","Least Developed Countries ","yes",4,0.352777842274358,0.850374688783769,0.6627499399655,0.929706372525672,0.626939091146198,0.504654854975424
"71",835,"Chhep","KBA",NA,"Cambodia","KHM","Least Developed Countries ","yes",4,0.26429957496692,0.854456029928489,0.691810606234271,0.822767559994163,0.162566039643166,0.347344086675666
"72",841,"Lomphat","KBA",NA,"Cambodia","KHM","Least Developed Countries ","yes",4,0.276763597626881,0.788899211559416,0.711728769380614,0.886172267648161,0.214667201025983,0.244418526814051
"73",840,"Central Oddar Meanchey","KBA",NA,"Cambodia","KHM","Least Developed Countries ","yes",4,0.19014204601272,0.575344226151067,0.767462479731645,0.688248614697107,0.109719702628488,0.380884500484328
"74",836,"Mondulkiri - Kratie Lowlands","KBA",NA,"Cambodia","KHM","Least Developed Countries ","yes",4,0.372686754631736,0.744548072693381,0.777389528356874,0.889236730563137,0.470759258295107,0.303143745734874
"75",839,"Central Cardamoms","KBA",NA,"Cambodia","KHM","Least Developed Countries ","yes",4,0.366118866710899,0.886747139310135,0.570702968444039,0.910109318305221,0.283023995188103,0.536829862582809
"76",844,"Upper Srepok Catchment","KBA",NA,"Cambodia","KHM","Least Developed Countries ","yes",4,0.339293943736684,0.846824509691476,0.707903740500542,0.817768128635109,0.467275073627887,0.273150182087808
"77",834,"Upper Stung Sen Catchment","KBA",NA,"Cambodia","KHM","Least Developed Countries ","yes",4,0.251886562369037,0.763641740401232,0.768858916952899,0.798971827182964,0.529953210504553,0.320901237832872
"78",195,"Virachey","IUCN","II","Cambodia","KHM","Least Developed Countries ","yes",4,0.505464925607692,0.902111779889866,0.682360620800849,0.907929775814457,0.296129597599713,0.432564694650183
"79",837,"Snoul / Keo Sema / O Reang","KBA",NA,"Cambodia","KHM","Least Developed Countries ","yes",4,0.4547845226093,0.721423499571991,0.583100385150043,0.867575147319623,0.168455396716708,0.383621429995811
"80",843,"Eastern Bolikhamxay Mountains","KBA",NA,"Lao People's Democratic Republic","LAO","Least Developed Countries ","yes",4,0.624296180184062,0.870859579052737,0.887479439436106,0.789220338849409,0.0447744295935402,0.319533212770476
"81",833,"Khammouan Limestone","KBA",NA,"Lao People's Democratic Republic","LAO","Least Developed Countries ","yes",4,0.628470297756902,0.820371734666494,0.75231271062192,0.757306130289129,0.0399270594883011,0.33237359000519
"82",831,"Nam Et","KBA",NA,"Lao People's Democratic Republic","LAO","Least Developed Countries ","yes",4,0.331208337866235,0.912064275495916,0.851755758296653,0.871248439587142,0.185636662238344,0.400464841915231
"83",838,"Dong Phou Vieng","KBA",NA,"Lao People's Democratic Republic","LAO","Least Developed Countries ","yes",4,0.416693945609925,0.798297328111551,0.760237069005122,0.827757729859092,0.248359637220129,0.415044281206811
"84",845,"Xe Pian","KBA",NA,"Lao People's Democratic Republic","LAO","Least Developed Countries ","yes",4,0.369469364579489,0.888656437462758,0.744999523255282,0.87459149426621,0.143127209522,0.41711866428108
"85",842,"Nakai-Nam Theun","KBA",NA,"Lao People's Democratic Republic","LAO","Least Developed Countries ","yes",4,0.705683946257755,0.871565745091662,0.934249987249677,0.799837278800632,0.237086930618875,0.342026546791959
"86",832,"Nam Ha","KBA",NA,"Lao People's Democratic Republic","LAO","Least Developed Countries ","yes",4,0.407701545975857,0.943155369900674,0.604453484521084,0.807535880788829,0.206381776301658,0.333544198334806
"110",1336,"May Hka Area","KBA",NA,"Burma","MMR","Least Developed Countries ","yes",4,0.738629040481355,0.809730856902864,0.506141870603294,0.881894058554982,0.830463068462591,0.491471408439413
"111",852,"Central Bago Yoma","KBA",NA,"Burma","MMR","Least Developed Countries ","yes",4,0.237665606236479,0.748370068795025,0.835358162058234,0.657472896258309,0.371771057760456,0.239440445259976
"112",850,"Myinmoletkhat","KBA",NA,"Burma","MMR","Least Developed Countries ","yes",4,0.439454532233599,0.893040702136159,0.737024899335529,0.774054398143822,0.727021174088355,0.294815002400949
"113",857,"Tanintharyi National Park","KBA",NA,"Burma","MMR","Least Developed Countries ","yes",4,0.423823399871175,0.916140626780036,0.739467678363503,0.759986548012282,0.336161309112249,0.318657426069171
"114",851,"Paunglaung Catchment Area","KBA",NA,"Burma","MMR","Least Developed Countries ","yes",4,0.314445774563109,0.711844548121829,0.681171885985258,0.587354038618287,0.157218783912752,0.265844473044837
"115",855,"Hukaung Valley","KBA",NA,"Burma","MMR","Least Developed Countries ","yes",4,0.494016321450904,0.928736016628031,0.599304435263002,0.807133727450298,0.604012139887097,0.466223791704843
