"","SP_ID","Int_Name","PA_type","IUCN_CAT","COUNTRY","ISO3","ODA_status","ODA","RealmNr","Biodiversity","Wilderness","ClimateStability","LandUseStability","Size","ClimateProtection"
"1",631,"Safed Koh","KBA",NA,"Afghanistan","AFG","Least Developed Countries ","yes",8,0.255390239968923,0.560494356550737,0.66048346185883,0.410760386438815,0.61663644840653,0.0196481201930543
"2",1238,"Small Pamir","KBA",NA,"Afghanistan","AFG","Least Developed Countries ","yes",8,0.168464181584179,0.670724768150521,0.483987194801959,0.461250360036249,0.663809412433853,0.00435424243419016
"3",632,"Registan desert","KBA",NA,"Afghanistan","AFG","Least Developed Countries ","yes",8,0.203265151267261,0.640668339816557,0.609695285292536,0.471737210366268,0.843653004646509,0.00750179245662787
"4",630,"North-western steppe","KBA",NA,"Afghanistan","AFG","Least Developed Countries ","yes",8,0.168993514727087,0.543363004456158,0.740026793895731,0.512825255997631,0.742621756007952,0.0206281184157141
"21",179,"Wangchuck Centennial Park","IUCN","II","Bhutan","BTN","Least Developed Countries ","yes",8,0.495842825085986,0.708892194177415,0.670289286265191,0.507234981941916,0.682867402414687,0.346871630395917
"22",180,"Jigme Dorji","IUCN","II","Bhutan","BTN","Least Developed Countries ","yes",8,0.466424103673814,0.629778115510142,0.63170286998338,0.442056182606755,0.67300856152101,0.238522055234314
"107",587,"Aguelhok","KBA",NA,"Mali","MLI","Least Developed Countries ","yes",8,0.0580834240179436,0.688320195004258,0.77393234925015,0.4818072246688,0.723730421136466,0.0160915928608691
"120",351,"Hkakaborazi National Park","IUCN","II","Burma","MMR","Least Developed Countries ","yes",8,0.971940116447787,0.683280885292759,0.780615001478634,0.4365135444244,0.672588006132941,0.53660777097526
"137",10,"Addax Sanctuary","IUCN","Ia","Niger","NER","Least Developed Countries ","yes",8,0.068712489356854,0.789005270075006,0.59460319829714,0.4818072246688,0.755227924519996,0.066190234960721
"140",202,"Shey-Phoksundo","IUCN","II","Nepal","NPL","Least Developed Countries ","yes",8,0.430847188014159,0.56621186110799,0.757714480595801,0.440313336175058,0.659073575682691,0.0814939883840145
"141",652,"Annapurna Conservation Area","KBA",NA,"Nepal","NPL","Least Developed Countries ","yes",8,0.602364023792709,0.568510092660851,0.872141463540025,0.442534648460224,0.713720628033185,0.176146043959772
"172",611,"Tibesti massif","KBA",NA,"Chad","TCD","Least Developed Countries ","yes",8,0.04094598514355,0.737489208420795,0.555901748528942,0.4818072246688,0.783551501486881,NA
"212",1312,"Lake Sevan and environs","KBA",NA,"Armenia","ARM","Lower Middle Income Countries and Territories","yes",8,0.308231598755369,0.48592302471726,0.774345441794906,0.367999130366857,0.62220730399717,0.203383679683541
"264",825,"The Abraq area","KBA",NA,"Egypt","EGY","Lower Middle Income Countries and Territories","yes",8,0.105562458218434,0.753316864520658,0.543986349302554,0.481807310739021,0.665017577858419,0.00651277623786434
"265",826,"Gebel Elba","KBA",NA,"Egypt","EGY","Lower Middle Income Countries and Territories","yes",8,0.131762433740805,0.774618300844181,0.426813497607645,0.482125297842626,0.635081482201919,0.00904246104438821
"266",567,"Lake Nasser","KBA",NA,"Egypt","EGY","Lower Middle Income Countries and Territories","yes",8,0.0694422697510248,0.727558548742848,0.60708895923631,0.482818606920592,0.655138695762345,0.0095161870448209
