,SP_ID,Int_Name,PA_type,PA_DEF,IUCN_CAT,RealmNr,Biodiversity,Wilderness,ClimateStability,LandUseStability,Size,ClimateProtection
64,297,Lorentz,NA,1,II,1,0.607396086,0.80230815,0.548465231,0.654322973,0.073520033,0.834105246
1328,1323,Telefomin,KBA,NA,NA,1,0.607252524,0.912244933,0.537948473,0.685210529,0.006225128,0.810333302
249,535,Wet Tropics of Queensland,NA,1,Not Applicable,1,0.520467601,0.741410564,0.807227266,0.889916118,0.027954551,0.263765134
914,19,Enarotali,NA,1,Ia,1,0.507679885,0.819943063,0.576880068,0.658567367,0.008785558,0.796953488
1341,21,Pegunungan Wayland,NA,1,Ia,1,0.446090326,0.865420475,0.61295482,0.658441202,0.00430076,0.862794401
517,20,Pegunungan Tamrau Selatan,NA,1,Ia,1,0.419463833,0.885203088,0.784841706,0.625291729,0.014886721,0.860900299
931,380,Girringun,NA,1,II,1,0.407186504,0.67611454,0.858131928,0.896210488,0.008657429,0.26227229
647,993,Pegunungan Tokalekaju,KBA,NA,NA,1,0.365977228,0.776801303,0.571428877,0.593722704,0.012244087,0.569596224
690,536,Gondwana Rainforests of Australia,NA,1,Not Applicable,1,0.345034756,0.689581806,0.834040409,0.803964452,0.011536259,0.373084456
893,293,Bogani Nani Wartabone,NA,1,II,1,0.324413688,0.676782772,0.674263254,0.642144486,0.008879256,0.572940405
163,163,Fiordland National Park,NA,1,II,1,0.310195132,0.590238232,0.620481425,0.850273481,0.039628997,0.438587487
533,992,Mekongga,KBA,NA,NA,1,0.304838454,0.81141151,0.649696288,0.615570998,0.014550487,0.536808201
995,991,Mambuliling,KBA,NA,NA,1,0.303589934,0.841589209,0.541818526,0.58130353,0.008108697,0.572259254
924,1300,Morowali,KBA,NA,NA,1,0.302399728,0.757800365,0.687568048,0.611584963,0.008687192,0.554296015
442,388,Rinyirru (Lakefield) (Cape York Peninsula Aboriginal Land),NA,1,II,1,0.294003294,0.548115588,0.8041915,0.871642325,0.017029217,0.185123568
395,786,Iron and McIlwraith Ranges,KBA,NA,NA,1,0.289607163,0.695726005,0.844882056,0.891640232,0.018807142,0.303281718
1293,367,Silver Plains,NA,1,II,1,0.280342478,0.606075779,0.83182472,0.869278519,0.006366613,0.225765253
676,1285,Guadalcanal Watersheds,KBA,NA,NA,1,0.273921004,0.745014774,0.424610194,0.738689086,0.01178132,0.398762503
670,383,Oyala Thumotang (Cape York Peninsula Aboriginal Land),NA,1,II,1,0.272155048,0.562607989,0.815544351,0.902548586,0.011936806,0.228498402
963,1266,Biak Island,KBA,NA,NA,1,0.266722717,0.804666256,0.706386789,0.733615829,0.008319626,0.951803023
1171,379,Great Sandy,NA,1,II,1,0.263820534,0.684787241,0.612443291,0.796574523,0.007002402,0.273851622
1198,803,Cooloola and Fraser Coast,KBA,NA,NA,1,0.263517921,0.685292492,0.606687976,0.796037274,0.006834144,0.274790076
97,364,Kakadu,NA,1,II,1,0.258464473,0.578073026,0.890235643,0.755648989,0.059849766,0.17168881
1049,1294,Manusela,KBA,NA,NA,1,0.257998642,0.71313163,0.448686424,0.698789854,0.007777569,0.786934381
480,125,Wollemi,NA,1,Ib,1,0.251909706,0.738257179,0.766252148,0.830593232,0.015679811,0.446316574
362,354,Alpine,NA,1,II,1,0.24719003,0.766681421,0.905263599,0.792270214,0.020652831,0.838033549
338,374,Kosciuszko,NA,1,II,1,0.243592498,0.643913891,0.816410727,0.81234581,0.021477692,0.627442433
731,791,Bundarra-Barraba,KBA,NA,NA,1,0.24001074,0.439891452,0.797887966,0.853626931,0.011062944,0.337733265
